Date,Julian Date,Time,Station,Depth (m),Calculated Chlorophyll-a (micrograms/L),Oxygen % Saturation,Calculated SPM (mg/L),Extinction Coefficient,Salinity,Temperature (Degrees Celsius),Month,Year
2021-01-29,2021029,12:15,13,1,3.0,93.0,42,2.4,28.61,10.52,1,2021
2021-01-29,2021029,12:15,13,2,3.0,93.0,43,2.4,28.61,10.52,1,2021
2021-01-29,2021029,12:15,13,3,3.0,93.0,44,2.4,28.63,10.48,1,2021
2021-01-29,2021029,12:15,13,4,3.0,93.0,52,2.4,28.68,10.45,1,2021
2021-01-29,2021029,12:15,13,5,3.1,93.0,61,2.4,28.68,10.45,1,2021
2021-01-29,2021029,12:15,13,6,3.1,93.0,65,2.4,28.69,10.45,1,2021
2021-01-29,2021029,12:15,13,7,3.1,93.0,65,2.4,28.69,10.45,1,2021
2021-01-29,2021029,12:15,13,8,3.2,93.0,64,2.4,28.69,10.45,1,2021
2021-01-29,2021029,12:15,13,9,3.1,93.0,64,2.4,28.7,10.45,1,2021
2021-01-29,2021029,12:15,13,10,3.1,93.0,72,2.4,28.7,10.44,1,2021
2021-01-29,2021029,12:15,13,11,3.2,93.0,72,2.4,28.7,10.44,1,2021
2021-01-29,2021029,12:03,14,1,3.0,93.0,13,1.4,28.95,10.55,1,2021
2021-01-29,2021029,12:03,14,2,3.0,93.0,16,1.4,29.18,10.5,1,2021
2021-01-29,2021029,12:03,14,3,3.0,93.0,23,1.4,29.37,10.46,1,2021
2021-01-29,2021029,12:03,14,4,3.0,93.0,26,1.4,29.45,10.45,1,2021
2021-01-29,2021029,12:03,14,5,3.0,92.0,29,1.4,29.62,10.45,1,2021
2021-01-29,2021029,12:03,14,6,3.0,92.0,34,1.4,29.73,10.46,1,2021
2021-01-29,2021029,12:03,14,7,3.0,92.0,38,1.4,29.83,10.46,1,2021
2021-01-29,2021029,12:03,14,8,3.1,92.0,44,1.4,29.86,10.46,1,2021
2021-01-29,2021029,12:03,14,9,3.0,92.0,55,1.4,29.87,10.46,1,2021
2021-01-29,2021029,12:03,14,10,3.1,92.0,58,1.4,29.87,10.46,1,2021
2021-01-29,2021029,12:03,14,11,3.2,92.0,60,1.4,29.87,10.46,1,2021
2021-01-29,2021029,12:03,14,12,3.1,92.0,63,1.4,29.87,10.47,1,2021
2021-01-29,2021029,12:03,14,13,3.1,92.0,64,1.4,29.87,10.47,1,2021
2021-01-29,2021029,12:03,14,14,3.1,92.0,64,1.4,29.87,10.47,1,2021
2021-01-29,2021029,12:03,14,15,3.2,92.0,68,1.4,29.87,10.46,1,2021
2021-01-29,2021029,12:03,14,16,3.2,92.0,77,1.4,29.87,10.46,1,2021
2021-01-29,2021029,11:49,15,1,2.7,94.0,7,1.1,29.05,10.47,1,2021
2021-01-29,2021029,11:49,15,2,2.7,93.0,8,1.1,29.31,10.45,1,2021
2021-01-29,2021029,11:49,15,3,2.9,93.0,8,1.1,29.82,10.46,1,2021
2021-01-29,2021029,11:49,15,4,3.0,93.0,11,1.1,30.05,10.47,1,2021
2021-01-29,2021029,11:49,15,5,2.9,93.0,15,1.1,30.12,10.47,1,2021
2021-01-29,2021029,11:49,15,6,3.0,93.0,17,1.1,30.16,10.48,1,2021
2021-01-29,2021029,11:49,15,7,2.9,93.0,19,1.1,30.23,10.48,1,2021
2021-01-29,2021029,11:49,15,8,2.9,92.0,21,1.1,30.27,10.48,1,2021
2021-01-29,2021029,11:49,15,9,2.9,92.0,23,1.1,30.32,10.48,1,2021
2021-01-29,2021029,11:49,15,10,2.9,92.0,23,1.1,30.33,10.48,1,2021
2021-01-29,2021029,11:49,15,11,2.9,92.0,23,1.1,30.37,10.49,1,2021
2021-01-29,2021029,11:49,15,12,2.9,92.0,24,1.1,30.4,10.49,1,2021
2021-01-29,2021029,11:49,15,13,2.9,92.0,25,1.1,30.41,10.49,1,2021
2021-01-29,2021029,11:49,15,14,2.9,92.0,26,1.1,30.44,10.49,1,2021
2021-01-29,2021029,11:49,15,15,2.9,92.0,28,1.1,30.54,10.5,1,2021
